Set_Name,Theme,Pieces,Price,Pages,Unique_Pieces,kjønn
Great Wall of China,Architecture,551.0,49.99,112.0,81.0,ANøytral
San Francisco,Architecture,565.0,49.99,128.0,163.0,ANøytral
Empire State Building,Architecture,1767.0,129.99,140.0,128.0,ANøytral
Shanghai,Architecture,597.0,59.99,160.0,144.0,ANøytral
Las Vegas,Architecture,501.0,39.99,108.0,123.0,ANøytral
Dubai,Architecture,740.0,59.99,112.0,127.0,ANøytral
Paris,Architecture,649.0,49.99,112.0,114.0,ANøytral
Statue of Liberty,Architecture,1685.0,119.99,184.0,146.0,ANøytral
Trafalgar Square,Architecture,1197.0,79.99,192.0,205.0,ANøytral
The White House,Architecture,1483.0,99.99,188.0,180.0,ANøytral
Tokyo,Architecture,547.0,59.99,96.0,146.0,ANøytral
Batman Batsub and the Underwater Clash,Batman,174.0,19.99,64.0,82.0,Gutt
The Joker Batcave Attack,Batman,151.0,24.99,76.0,94.0,Gutt
Batman: The Attack of the Talons,Batman,155.0,19.99,60.0,82.0,Gutt
Batboat The Penguin Pursuit!,Batman,54.0,9.99,44.0,41.0,Gutt
Batman and The Joker Escape,Batman,171.0,39.99,72.0,119.0,Gutt
Batcave,Batman,33.0,29.99,20.0,25.0,Gutt
Batcave Clayface Invasion,Batman,1038.0,99.99,168.0,333.0,Gutt
Batmobile: Pursuit of The Joker,Batman,342.0,29.99,80.0,114.0,Gutt
Batwing and The Riddler Heist,Batman,489.0,49.99,132.0,212.0,Gutt
Batman Mech vs. Poison Ivy Mech ,Batman,375.0,39.99,92.0,173.0,Gutt
Batman: Brother Eye Takedown,Batman,269.0,29.99,76.0,103.0,Gutt
Mr. Freeze Batcycle Battle,Batman,200.0,19.99,68.0,97.0,Gutt
1989 Batmobile,Batman,3306.0,249.99,404.0,484.0,Gutt
Joker's Trike Chase,Batman,440.0,49.99,108.0,181.0,Gutt
Battle-Ready Batman and MetalBeard,Batman,168.0,19.99,64.0,98.0,Gutt
Batman vs. The Riddler Robbery,Batman,59.0,9.99,36.0,44.0,Gutt
Easter Chick,BrickHeadz,120.0,9.99,44.0,50.0,ANøytral
Wonder Woman,BrickHeadz,143.0,9.99,40.0,54.0,ANøytral
Thanksgiving Turkey,BrickHeadz,114.0,9.99,32.0,48.0,ANøytral
Aquaman,BrickHeadz,135.0,9.99,36.0,40.0,ANøytral
Thanos,BrickHeadz,105.0,9.99,32.0,37.0,ANøytral
Harry Potter & Hedwig,BrickHeadz,180.0,14.99,60.0,73.0,ANøytral
Go Brick Me,BrickHeadz,708.0,29.99,84.0,160.0,ANøytral
Iron Man MK50,BrickHeadz,101.0,9.99,32.0,41.0,ANøytral
Valentine's Bear,BrickHeadz,150.0,9.99,44.0,65.0,ANøytral
Peter Venkman & Slimer,BrickHeadz,228.0,19.99,77.0,90.0,ANøytral
Anna & Olaf,BrickHeadz,201.0,14.99,56.0,78.0,ANøytral
Elsa,BrickHeadz,130.0,9.99,44.0,48.0,ANøytral
"Reindeer, Elf and Elfie",BrickHeadz,281.0,19.99,97.0,116.0,ANøytral
Mr. & Mrs. Claus,BrickHeadz,341.0,19.99,84.0,109.0,ANøytral
Owen & Blue,BrickHeadz,234.0,19.99,77.0,82.0,ANøytral
Ron Weasley & Albus Dumbledore,BrickHeadz,245.0,19.99,73.0,82.0,ANøytral
Marty McFly & Doc Brown,BrickHeadz,240.0,19.99,69.0,73.0,ANøytral
Star-Lord,BrickHeadz,113.0,9.99,40.0,51.0,ANøytral
Hermione Granger,BrickHeadz,127.0,9.99,40.0,50.0,ANøytral
Lucky Cat,BrickHeadz,134.0,9.99,44.0,71.0,ANøytral
Wedding Groom,BrickHeadz,255.0,12.99,48.0,107.0,ANøytral
Dragon Dance Guy,BrickHeadz,170.0,9.99,48.0,72.0,ANøytral
Easter Sheep,BrickHeadz,192.0,9.99,48.0,57.0,ANøytral
Tactical Batman & Superman,BrickHeadz,209.0,19.99,69.0,72.0,ANøytral
Birthday Clown,BrickHeadz,150.0,9.99,48.0,77.0,ANøytral
Lady Liberty,BrickHeadz,153.0,9.99,48.0,43.0,ANøytral
Valentine's Puppy,BrickHeadz,147.0,9.99,48.0,60.0,ANøytral
Cyborg,BrickHeadz,108.0,9.99,32.0,48.0,ANøytral
Wedding Bride,BrickHeadz,306.0,12.99,48.0,101.0,ANøytral
Ariel & Ursula,BrickHeadz,361.0,19.99,121.0,121.0,ANøytral
Gamora,BrickHeadz,136.0,9.99,48.0,51.0,ANøytral
Diving Yacht,City,148.0,19.99,64.0,81.0,ANøytral
Police Monster Truck Heist,City,362.0,59.99,200.0,198.0,ANøytral
Snow Groomer,City,197.0,19.99,60.0,81.0,ANøytral
Service Station,City,354.0,49.99,193.0,179.0,ANøytral
Lunar Space Station,City,412.0,59.99,172.0,171.0,ANøytral
Construction Bulldozer,City,126.0,19.99,84.0,81.0,ANøytral
Garage Centre,City,234.0,49.99,116.0,62.0,ANøytral
Garbage Truck,City,90.0,19.99,40.0,52.0,ANøytral
Police Helicopter Transport,City,317.0,49.99,156.0,161.0,ANøytral
Ocean Exploration Submarine,City,286.0,39.99,141.0,131.0,ANøytral
Mining Power Splitter,City,127.0,19.99,60.0,85.0,ANøytral
Mining Team,City,82.0,9.99,32.0,64.0,ANøytral
Safari Off-Roader,City,168.0,19.99,76.0,86.0,ANøytral
Drone Chase,City,192.0,29.99,100.0,112.0,ANøytral
Kayak Adventure,City,84.0,9.99,36.0,48.0,ANøytral
Airshow Jet,City,87.0,9.99,56.0,53.0,ANøytral
Dock Side Fire,City,97.0,19.99,48.0,63.0,ANøytral
Fire Helicopter Response,City,93.0,29.99,44.0,61.0,ANøytral
Racing Cars,City,190.0,29.99,84.0,101.0,ANøytral
Fire Chief Response Truck,City,201.0,29.99,84.0,98.0,ANøytral
Rover Testing Drive,City,202.0,29.99,96.0,98.0,ANøytral
Monster Truck,City,192.0,19.99,76.0,76.0,ANøytral
Police Highway Arrest,City,185.0,29.99,108.0,98.0,ANøytral
Mountain Fugitives,City,88.0,9.99,36.0,61.0,ANøytral
Race Boat Transporter,City,238.0,29.99,124.0,123.0,ANøytral
Off-Road Chase,City,37.0,6.99,20.0,28.0,ANøytral
Parachute Arrest,City,218.0,39.99,120.0,139.0,ANøytral
City Advent Calendar,City,234.0,29.99,3.0,161.0,ANøytral
People Pack - Fun Fair,City,183.0,39.99,64.0,138.0,ANøytral
Ice-Cream Truck,City,200.0,19.99,100.0,112.0,ANøytral
Mars Research Shuttle,City,273.0,39.99,160.0,135.0,ANøytral
Fire Plane,City,363.0,59.99,156.0,151.0,ANøytral
Arctic Ice Crawler,City,200.0,24.99,92.0,80.0,ANøytral
Burger Bar Fire Rescue,City,327.0,39.99,164.0,153.0,ANøytral
Forest Tractor,City,174.0,19.99,64.0,77.0,ANøytral
Police Helicopter Chase,City,212.0,39.99,128.0,127.0,ANøytral
Speed Record Car,City,78.0,9.99,40.0,47.0,ANøytral
Ambulance Helicopter,City,190.0,19.99,84.0,108.0,ANøytral
Wild River Escape,City,126.0,19.99,56.0,71.0,ANøytral
City Advent Calendar,City,313.0,29.99,4.0,194.0,ANøytral
Mining Heavy Driller,City,294.0,49.99,124.0,139.0,ANøytral
Fire Station,City,509.0,69.99,184.0,210.0,ANøytral
Cargo Train,City,1227.0,229.99,362.0,410.0,ANøytral
City Hospital,City,861.0,99.99,329.0,362.0,ANøytral
Harvester Transport,City,358.0,29.99,148.0,166.0,ANøytral
Capital City,City,1211.0,149.99,441.0,489.0,ANøytral
Road Worker,City,58.0,3.99,3.0,33.0,ANøytral
Police Water Plane,City,48.0,3.99,3.0,36.0,ANøytral
Arctic Ice Saw,City,43.0,3.99,3.0,34.0,ANøytral
Space Satellite,City,36.0,3.99,3.0,24.0,ANøytral
Beach Buggy,City,45.0,4.99,3.0,29.0,ANøytral
Ocean Mini-Submarine,City,41.0,9.99,37.0,30.0,ANøytral
Forest Fire,City,84.0,9.99,56.0,49.0,ANøytral
Satellite Service Mission,City,84.0,9.99,56.0,52.0,ANøytral
Mail Plane,City,74.0,9.99,52.0,55.0,ANøytral
Street Sweeper,City,89.0,9.99,48.0,55.0,ANøytral
Police Dog Unit,City,67.0,9.99,40.0,48.0,ANøytral
Stunt Team,City,62.0,9.99,36.0,34.0,ANøytral
Construction Loader,City,88.0,9.99,36.0,50.0,ANøytral
Jet Patrol,City,54.0,9.99,36.0,45.0,ANøytral
Monster Truck,City,55.0,9.99,32.0,34.0,ANøytral
Barbecue Burn Out,City,64.0,9.99,28.0,45.0,ANøytral
People Pack - Space Research and Development,City,209.0,39.99,68.0,146.0,ANøytral
Police Patrol Car,City,92.0,9.99,36.0,52.0,ANøytral
Air Race,City,140.0,39.99,108.0,84.0,ANøytral
Police Brick Box,City,301.0,39.99,188.0,162.0,ANøytral
Ski Resort,City,806.0,89.99,328.0,348.0,ANøytral
Arctic Exploration Team,City,70.0,9.99,28.0,47.0,ANøytral
Arctic Mobile Exploration Base,City,786.0,119.99,236.0,255.0,ANøytral
Mining Experts Site,City,883.0,99.99,244.0,284.0,ANøytral
Mountain Police Headquarters,City,663.0,89.99,272.0,324.0,ANøytral
Central Airport,City,286.0,59.99,169.0,168.0,ANøytral
Dirt Road Pursuit,City,297.0,39.99,116.0,140.0,ANøytral
Pickup & Caravan,City,344.0,29.99,140.0,188.0,ANøytral
Arctic Air Transport,City,277.0,39.99,112.0,113.0,ANøytral
Heavy Cargo Transport,City,310.0,29.99,128.0,161.0,ANøytral
People Pack - Outdoor Adventures,City,164.0,39.99,64.0,128.0,ANøytral
Arctic Scout Truck,City,322.0,59.99,100.0,148.0,ANøytral
Ocean Exploration Ship,City,745.0,149.99,229.0,314.0,ANøytral
Ocean Exploration Base,City,497.0,79.99,165.0,180.0,ANøytral
Donut Shop Opening,City,790.0,89.99,320.0,368.0,ANøytral
Mountain Arrest,City,303.0,59.99,136.0,168.0,ANøytral
Arctic Ice Glider,City,50.0,6.99,28.0,30.0,ANøytral
Desert Rally Racer,City,75.0,9.99,36.0,45.0,ANøytral
Diamond Heist,City,400.0,59.99,160.0,191.0,ANøytral
Rocket Assembly &Transport,City,1055.0,149.99,340.0,364.0,ANøytral
Air Base,City,529.0,89.99,260.0,270.0,ANøytral
Arctic Supply Plane,City,707.0,79.99,132.0,239.0,ANøytral
Tuning Workshop,City,897.0,99.99,389.0,411.0,ANøytral
Police Station,City,743.0,99.99,345.0,298.0,ANøytral
Passenger Train,City,677.0,159.99,230.0,165.0,ANøytral
Downtown Fire Brigade,City,943.0,99.99,414.0,400.0,ANøytral
Deep Space Rocket and Launch Control,City,837.0,99.99,304.0,308.0,ANøytral
Passenger Airplane,City,669.0,99.99,273.0,288.0,ANøytral
Fun Future,Classic,186.0,9.99,49.0,95.0,ANøytral
Creative Fun,Classic,900.0,39.99,90.0,231.0,ANøytral
Bricks Bricks Bricks,Classic,1500.0,59.99,69.0,327.0,ANøytral
Bricks and Eyes ,Classic,451.0,29.99,88.0,171.0,ANøytral
Bricks and Animals,Classic,1500.0,59.99,101.0,339.0,ANøytral
Mission to Mars,Classic,871.0,59.99,81.0,330.0,ANøytral
Bricks and Lights,Classic,441.0,29.99,109.0,173.0,ANøytral
World Fun,Classic,295.0,19.99,53.0,149.0,ANøytral
Bricks Bricks Plates,Classic,1504.0,69.99,144.0,332.0,ANøytral
Bricks and Gears,Classic,244.0,19.99,124.0,94.0,ANøytral
Bricks and Houses,Classic,270.0,19.99,77.0,121.0,ANøytral
Ocean's Bottom,Classic,579.0,29.99,57.0,218.0,ANøytral
Windows of Creativity,Classic,450.0,29.99,85.0,153.0,ANøytral
Creative Blue Bricks,Classic,52.0,4.99,37.0,28.0,ANøytral
Creative Suitcase,Classic,213.0,19.99,36.0,89.0,ANøytral
Basic Brick Set ,Classic,300.0,19.99,66.0,93.0,ANøytral
Creative Green Bricks,Classic,60.0,4.99,37.0,36.0,ANøytral
Rainbow Fun,Classic,85.0,4.99,37.0,42.0,ANøytral
White Baseplate,Classic,1.0,7.99,1.0,1.0,ANøytral
Bricks and Ideas,Classic,123.0,9.99,42.0,59.0,ANøytral
Helicopter Adventure,Creator 3-in-1,114.0,9.99,92.0,68.0,ANøytral
Riverside Houseboat,Creator 3-in-1,396.0,39.99,200.0,157.0,ANøytral
Modular Sweet Surprises,Creator 3-in-1,396.0,39.99,184.0,187.0,ANøytral
Rocket Truck,Creator 3-in-1,198.0,19.99,148.0,90.0,ANøytral
Pirate Roller Coaster,Creator 3-in-1,923.0,89.99,324.0,277.0,ANøytral
Sports Car,Creator 3-in-1,134.0,9.99,120.0,60.0,ANøytral
Sunshine Surfer Van,Creator 3-in-1,379.0,34.99,184.0,160.0,ANøytral
Monster Burger Truck,Creator 3-in-1,499.0,49.99,248.0,183.0,ANøytral
Modular Winter Vacation,Creator 3-in-1,374.0,34.99,200.0,142.0,ANøytral
Propeller Plane,Creator 3-in-1,128.0,9.99,112.0,50.0,ANøytral
Townhouse Pet Shop & Café,Creator 3-in-1,969.0,79.99,356.0,289.0,ANøytral
Shuttle Transporter,Creator 3-in-1,341.0,24.99,268.0,122.0,ANøytral
Deep Sea Creatures,Creator 3-in-1,230.0,14.99,176.0,83.0,ANøytral
Caravan Family Holiday,Creator 3-in-1,766.0,69.99,276.0,328.0,ANøytral
Futuristic Flyer,Creator 3-in-1,157.0,14.99,136.0,65.0,ANøytral
Underwater Robot,Creator 3-in-1,207.0,19.99,140.0,81.0,ANøytral
Tree House Treasures ,Creator 3-in-1,260.0,29.99,152.0,119.0,ANøytral
Cruising Adventures,Creator 3-in-1,597.0,59.99,216.0,246.0,ANøytral
Twin-Rotor Helicopter,Creator 3-in-1,569.0,59.99,228.0,200.0,ANøytral
Dune Buggy,Creator 3-in-1,147.0,12.99,120.0,65.0,ANøytral
Outback Adventures,Creator 3-in-1,225.0,19.99,148.0,103.0,ANøytral
Cute Pug,Creator 3-in-1,68.0,3.99,28.0,32.0,ANøytral
Outback Cabin,Creator 3-in-1,305.0,29.99,196.0,141.0,ANøytral
Modular Skate House,Creator 3-in-1,422.0,39.99,196.0,169.0,ANøytral
Extreme Engines,Creator 3-in-1,109.0,9.99,76.0,53.0,ANøytral
Sunset Track Racer,Creator 3-in-1,221.0,19.99,144.0,81.0,ANøytral
Fire Dragon,Creator 3-in-1,234.0,19.99,132.0,80.0,ANøytral
Fairground Carousel,Creator 3-in-1,595.0,49.99,236.0,223.0,ANøytral
Monster Truck,Creator 3-in-1,163.0,14.99,136.0,54.0,ANøytral
Mobile Stunt Show,Creator 3-in-1,581.0,49.99,224.0,212.0,ANøytral
Rocket Rally Car,Creator 3-in-1,241.0,19.99,148.0,104.0,ANøytral
Drone Explorer,Creator 3-in-1,109.0,9.99,80.0,56.0,ANøytral
Daredevil Stunt Plane,Creator 3-in-1,200.0,19.99,120.0,86.0,ANøytral
